Clock: 24.236137874, Future Event List: [(Arrival, 24.367655162), (Departure, 25.094828896), ], Number of Departures: 42, Queue Size: 4, Server Utilization: 2.749604752
Clock: 24.367655162, Future Event List: [(Arrival, 24.480106541), (Departure, 25.094828896), ], Number of Departures: 42, Queue Size: 5, Server Utilization: 2.734764565
Clock: 24.480106541, Future Event List: [(Departure, 25.094828896), (Arrival, 25.223320315), ], Number of Departures: 42, Queue Size: 6, Server Utilization: 2.7222022
Clock: 25.094828896, Future Event List: [(Arrival, 25.223320315), (Departure, 26.015313878), ], Number of Departures: 43, Queue Size: 5, Server Utilization: 2.655519197
Clock: 25.223320315, Future Event List: [(Arrival, 25.861861686), (Departure, 26.015313878), ], Number of Departures: 43, Queue Size: 6, Server Utilization: 2.641991579
Clock: 25.861861686, Future Event List: [(Departure, 26.015313878), (Arrival, 26.456044599), ], Number of Departures: 43, Queue Size: 7, Server Utilization: 2.576759581
Clock: 26.015313878, Future Event List: [(Arrival, 26.456044599), (Departure, 26.766152767), ], Number of Departures: 44, Queue Size: 6, Server Utilization: 2.561560479
Clock: 26.456044599, Future Event List: [(Departure, 26.766152767), (Arrival, 26.954667112), ], Number of Departures: 44, Queue Size: 7, Server Utilization: 2.518887494
Clock: 26.766152767, Future Event List: [(Arrival, 26.954667112), (Departure, 27.051744472), ], Number of Departures: 45, Queue Size: 6, Server Utilization: 2.489704085
Clock: 26.954667112, Future Event List: [(Departure, 27.051744472), (Arrival, 27.522519771), ], Number of Departures: 45, Queue Size: 7, Server Utilization: 2.472291704
Clock: 27.051744472, Future Event List: [(Arrival, 27.522519771), (Departure, 27.84856026), ], Number of Departures: 46, Queue Size: 6, Server Utilization: 2.463419686
Clock: 27.522519771, Future Event List: [(Departure, 27.84856026), (Arrival, 27.949024022), ], Number of Departures: 46, Queue Size: 7, Server Utilization: 2.42128266
Clock: 27.84856026, Future Event List: [(Arrival, 27.949024022), (Departure, 27.99132609), ], Number of Departures: 47, Queue Size: 6, Server Utilization: 2.392935191
Clock: 27.949024022, Future Event List: [(Departure, 27.99132609), (Arrival, 28.025263464), ], Number of Departures: 47, Queue Size: 7, Server Utilization: 2.384333701
Clock: 27.99132609, Future Event List: [(Arrival, 28.025263464), (Departure, 28.495876281), ], Number of Departures: 48, Queue Size: 6, Server Utilization: 2.380730361
Clock: 28.025263464, Future Event List: [(Arrival, 28.315850117), (Departure, 28.495876281), ], Number of Departures: 48, Queue Size: 7, Server Utilization: 2.3778474
Clock: 28.315850117, Future Event List: [(Departure, 28.495876281), (Arrival, 28.877185164), ], Number of Departures: 48, Queue Size: 8, Server Utilization: 2.353445141
Clock: 28.495876281, Future Event List: [(Arrival, 28.877185164), (Departure, 29.106564232), ], Number of Departures: 49, Queue Size: 7, Server Utilization: 2.338576965
Clock: 28.877185164, Future Event List: [(Departure, 29.106564232), (Arrival, 29.510518632), ], Number of Departures: 49, Queue Size: 8, Server Utilization: 2.307697218
Clock: 29.106564232, Future Event List: [(Arrival, 29.510518632), (Departure, 29.810360967), ], Number of Departures: 50, Queue Size: 7, Server Utilization: 2.289511031
Clock: 29.510518632, Future Event List: [(Departure, 29.810360967), (Arrival, 30.441294491), ], Number of Departures: 50, Queue Size: 8, Server Utilization: 2.258171085
Clock: 29.810360967, Future Event List: [(Departure, 30.193700898), (Arrival, 30.441294491), ], Number of Departures: 51, Queue Size: 7, Server Utilization: 2.235457663
Clock: 30.193700898, Future Event List: [(Arrival, 30.441294491), (Departure, 30.922384335), ], Number of Departures: 52, Queue Size: 6, Server Utilization: 2.207076241
Clock: 30.441294491, Future Event List: [(Departure, 30.922384335), (Arrival, 31.419063649), ], Number of Departures: 52, Queue Size: 7, Server Utilization: 2.189125035
Clock: 30.922384335, Future Event List: [(Arrival, 31.419063649), (Departure, 31.809669015), ], Number of Departures: 53, Queue Size: 6, Server Utilization: 2.155066671
Clock: 31.419063649, Future Event List: [(Arrival, 31.512660195), (Departure, 31.809669015), ], Number of Departures: 53, Queue Size: 7, Server Utilization: 2.120998914
Clock: 31.512660195, Future Event List: [(Departure, 31.809669015), (Arrival, 32.174395139), ], Number of Departures: 53, Queue Size: 8, Server Utilization: 2.114699282
Clock: 31.809669015, Future Event List: [(Departure, 31.865517336), (Arrival, 32.174395139), ], Number of Departures: 54, Queue Size: 7, Server Utilization: 2.094954205
Clock: 31.865517336, Future Event List: [(Departure, 32.003733679), (Arrival, 32.174395139), ], Number of Departures: 55, Queue Size: 6, Server Utilization: 2.091282535
Clock: 32.003733679, Future Event List: [(Arrival, 32.174395139), (Departure, 32.866798658), ], Number of Departures: 56, Queue Size: 5, Server Utilization: 2.082250794
Clock: 32.174395139, Future Event List: [(Arrival, 32.777168038), (Departure, 32.866798658), ], Number of Departures: 56, Queue Size: 6, Server Utilization: 2.071205988
Clock: 32.777168038, Future Event List: [(Departure, 32.866798658), (Arrival, 33.250985901), ], Number of Departures: 56, Queue Size: 7, Server Utilization: 2.033116461
Clock: 32.866798658, Future Event List: [(Arrival, 33.250985901), (Departure, 33.288545141), ], Number of Departures: 57, Queue Size: 6, Server Utilization: 2.027571975
Clock: 33.250985901, Future Event List: [(Departure, 33.288545141), (Arrival, 33.607242243), ], Number of Departures: 57, Queue Size: 7, Server Utilization: 2.004145082
Clock: 33.288545141, Future Event List: [(Arrival, 33.607242243), (Departure, 33.699859316), ], Number of Departures: 58, Queue Size: 6, Server Utilization: 2.001883819
